"","Term","ProbAbstract","ProbConcrete","Classification","Jitter"
"volleys","volleys",0.000109264769500617,0.999890735230499,"concrete",0.1401
"foothold","foothold",0.000109443819523569,0.999890556180477,"concrete",0.6642
"thank","thank",0.000110412524287182,0.999889587475713,"concrete",0.37184
"bam","bam",0.000112640084928008,0.999887359915072,"concrete",0.24889
"stick","stick",0.00011353263020167,0.999886467369798,"concrete",0.05673
"lark","lark",0.000114767558665369,0.999885232441335,"concrete",0.54522
"feathers","feathers",0.000115956613120711,0.999884043386879,"concrete",0.79159
"snows","snows",0.000116083588105123,0.999883916411895,"concrete",0.90384
"clear","clear",0.000116506533779304,0.999883493466221,"concrete",0.4246
"meteor","meteor",0.000116580021492334,0.999883419978508,"concrete",0.09997
"kep","kep",0.000116699127326084,0.999883300872674,"concrete",0.809
"cherries","cherries",0.000117208136931245,0.999882791863069,"concrete",0.84826
"wrinkles","wrinkles",0.000117728641455548,0.999882271358544,"concrete",0.90372
"verb","verb",0.000118000367920248,0.99988199963208,"concrete",0.99283
"skin","skin",0.000118009653273447,0.999881990346727,"concrete",0.41983
"lining","lining",0.000118870234684087,0.999881129765316,"concrete",0.49922
"heel","heel",0.000120241314672364,0.999879758685328,"concrete",0.9562
"sunrise","sunrise",0.000120574071734075,0.999879425928266,"concrete",0.29272
"faster","faster",0.000123239355254118,0.999876760644746,"concrete",0.99728
"pearl","pearl",0.000123964190996557,0.999876035809003,"concrete",0.43834
"yawl","yawl",0.00012432268204518,0.999875677317955,"concrete",0.42088
"ladder","ladder",0.000124849329059656,0.99987515067094,"concrete",0.7443
"jacket","jacket",0.000128711184850967,0.999871288815149,"concrete",0.6018
"ruby","ruby",0.000129492883687075,0.999870507116313,"concrete",0.36892
"marrow","marrow",0.000130262105481494,0.999869737894519,"concrete",0.33541
"hilt","hilt",0.000131541147873566,0.999868458852126,"concrete",0.83361
"caller","caller",0.000131781493458639,0.999868218506541,"concrete",0.66307
"cent","cent",0.000132325821575287,0.999867674178425,"concrete",0.86292
"mouthfuls","mouthfuls",0.000133295245546635,0.999866704754453,"concrete",0.76842
"crest","crest",0.000134041345629244,0.999865958654371,"concrete",0.67406
"loop","loop",0.000135113609389717,0.99986488639061,"concrete",0.11409
"eternity","eternity",0.000136930492180867,0.999863069507819,"concrete",0.86416
"chin","chin",0.000139072693664784,0.999860927306335,"concrete",0.77325
"hawk","hawk",0.000140120130657773,0.999859879869342,"concrete",0.25933
"corridor","corridor",0.000143029430799535,0.9998569705692,"concrete",0.9726
"back","back",0.000143965074077913,0.999856034925922,"concrete",0.58716
"diem","diem",0.000144873765721931,0.999855126234278,"concrete",0.07453
"halo","halo",0.000146707229694785,0.999853292770305,"concrete",0.15845
"pock","pock",0.000147907680073533,0.999852092319926,"concrete",0.56646
"beacon","beacon",0.000148648421188939,0.999851351578811,"concrete",0.07129
"burst","burst",0.000150339159076668,0.999849660840923,"concrete",0.81886
"darts","darts",0.000151008920518375,0.999848991079482,"concrete",0.35069
"flying","flying",0.000152242107692309,0.999847757892308,"concrete",0.39738
"chest","chest",0.000152682943791747,0.999847317056208,"concrete",0.47985
"opera","opera",0.000152953167446771,0.999847046832553,"concrete",0.84437
"scythe","scythe",0.0001533539079941,0.999846646092006,"concrete",0.27634
"word","word",0.00015524970589881,0.999844750294101,"concrete",0.37046
"neutrality","neutrality",0.000155894152054799,0.999844105847945,"concrete",0.16744
"cudgel","cudgel",0.000156507944202265,0.999843492055798,"concrete",0.04087
"cheeks","cheeks",0.000156555946062387,0.999843444053938,"concrete",0.68701
"pegs","pegs",0.000159108091049968,0.99984089190895,"concrete",0.07724
"rings","rings",0.000161054001467886,0.999838945998532,"concrete",0.35486
"pails","pails",0.000162077079275934,0.999837922920724,"concrete",0.45922
"coal","coal",0.000164558225714945,0.999835441774285,"concrete",0.39987
"flash","flash",0.000166125911112436,0.999833874088888,"concrete",0.05666
"buckle","buckle",0.000167564937438379,0.999832435062562,"concrete",0.63132
"hand","hand",0.000167634210153694,0.999832365789846,"concrete",0.25479
"rockets","rockets",0.000167994884195947,0.999832005115804,"concrete",0.3026
"pleadings","pleadings",0.000172141980115445,0.999827858019885,"concrete",0.19415
"fire","fire",0.00017291731397151,0.999827082686028,"concrete",0.34771
"coronet","coronet",0.000173723908575275,0.999826276091425,"concrete",0.82846
"bugle","bugle",0.000177535950378238,0.999822464049622,"concrete",0.952
"beating","beating",0.000177800818718902,0.999822199181281,"concrete",0.80672
"collar","collar",0.000178017623710486,0.999821982376289,"concrete",0.04214
"dashing","dashing",0.000178152587738529,0.999821847412261,"concrete",0.19054
"dropping","dropping",0.000178497959113379,0.999821502040887,"concrete",0.93764
"coach","coach",0.000180155487997791,0.999819844512002,"concrete",0.63793
"basin","basin",0.000183489568821728,0.999816510431178,"concrete",0.18066
"picks","picks",0.000186224926070814,0.999813775073929,"concrete",0.61962
"salver","salver",0.000187615403312892,0.999812384596687,"concrete",0.49554
"musket","musket",0.000188718110983589,0.999811281889016,"concrete",0.12939
"beaten","beaten",0.000188997086734393,0.999811002913266,"concrete",0.48044
"beaming","beaming",0.000189472189454197,0.999810527810546,"concrete",0.75649
"cut","cut",0.000190325077576837,0.999809674922423,"concrete",0.52638
"bony","bony",0.000191437763064687,0.999808562236935,"concrete",0.52894
"metal","metal",0.000192214084612943,0.999807785915387,"concrete",0.08807
"belfry","belfry",0.000193290503302624,0.999806709496697,"concrete",0.56155
"thigh","thigh",0.000196281732184512,0.999803718267815,"concrete",0.24419
"cleft","cleft",0.000196798340187425,0.999803201659813,"concrete",0.20742
"cataract","cataract",0.000198432494232882,0.999801567505767,"concrete",0.41304
"herald","herald",0.000199268880532162,0.999800731119468,"concrete",0.77602
"card","card",0.000201210272443043,0.999798789727557,"concrete",0.23257
